"Crude.Oil"	"Rapeseed"	"Biodiesel"
"2003-05-23"	-0.72898992775649	-0.224457968198661	-0.293584486829382
"2003-05-30"	-0.743043398213411	-0.237064421913387	-0.323907260726299
"2003-06-06"	-0.695628062061556	-0.243173913275803	-0.332437114391604
"2003-06-13"	-0.756486829069314	-0.221310473020247	-0.317349065962206
"2003-06-20"	-0.769035293323856	-0.215812364258707	-0.325477340410155
"2003-06-27"	-0.726755922709207	-0.207427157672325	-0.281159616630225
"2003-07-04"	-0.736893661827348	-0.198704382969674	-0.326637710485105
"2003-07-11"	-0.678834527794275	-0.19637646908453	-0.335486273378474
"2003-07-18"	-0.680478389155022	-0.217573308647346	-0.291191547992961
"2003-07-25"	-0.736636555503547	-0.213541121216294	-0.322521925316742
"2003-08-01"	-0.669285486046076	-0.20620043091016	-0.33198620530745
"2003-08-08"	-0.669971879608966	-0.210751182299636	-0.328865801110497
"2003-08-15"	-0.69157663461183	-0.189191883882231	-0.330795608724441
"2003-08-22"	-0.616013449081746	-0.169826648499036	-0.322464971532668
"2003-08-29"	-0.62687886534449	-0.181196838242569	-0.31468318551944
"2003-09-05"	-0.708694367902421	-0.185715237045142	-0.32470105822114
"2003-09-12"	-0.754525864724395	-0.186107632306283	-0.330943714181857
"2003-09-19"	-0.806532101637636	-0.176481341768774	-0.353817409655923
"2003-09-26"	-0.742720505588394	-0.17186720006868	-0.371078790740419
"2003-10-03"	-0.682793236716663	-0.151188721614234	-0.354281419413196
"2003-10-10"	-0.615630833882117	-0.119656295177347	-0.341152792979378
"2003-10-17"	-0.661172162875565	-0.0972506604955274	-0.324585188721359
"2003-10-24"	-0.664148685215123	-0.078888730127419	-0.342475998729324
"2003-10-31"	-0.705872513921559	-0.0794811623651688	-0.346923830283589
"2003-11-07"	-0.662486821471043	-0.0989372159705404	-0.351423571564474
"2003-11-14"	-0.636765674389858	-0.0829626621934008	-0.331238100180894
"2003-11-21"	-0.64875461182169	-0.103754478235405	-0.31867719320493
"2003-11-28"	-0.665745037933376	-0.0956183553782664	-0.329602924241119
"2003-12-05"	-0.663006057471506	-0.122167235032688	-0.342132496713323
"2003-12-12"	-0.634048257504008	-0.1088668835985	-0.357659204210494
"2003-12-19"	-0.607649185011084	-0.130663863311672	-0.335339402746535
"2003-12-26"	-0.671847349033519	-0.135626582262781	-0.328703601128195
"2004-01-02"	-0.680702232488581	-0.117659738968476	-0.34041642993486
"2004-01-09"	-0.634761924063244	-0.153029561229672	-0.352731639067837
"2004-01-16"	-0.632682057354597	-0.147246425115793	-0.355493728524362
"2004-01-23"	-0.653291597660311	-0.131044875912353	-0.358258635971739
"2004-01-30"	-0.705031699756081	-0.122770709185577	-0.345981052290277
"2004-02-06"	-0.740714386165108	-0.0376851760733157	-0.349564402495766
"2004-02-13"	-0.677604781281379	-0.0449352890197403	-0.363195992527456
"2004-02-20"	-0.682837848620483	-0.0347434299733971	-0.35673653581128
"2004-02-27"	-0.640602037517309	-0.0425167174721262	-0.3670513752756
"2004-03-05"	-0.611553730900837	-0.0737896457491454	-0.370676934005679
"2004-03-12"	-0.658611795043004	-0.0808842744590228	-0.351004387562254
"2004-03-19"	-0.612157056611109	-0.0691700336359409	-0.361905277143853
"2004-03-26"	-0.667584821663242	-0.0596638424507088	-0.341473346020064
"2004-04-02"	-0.733827858387413	-0.0586954088737759	-0.344196953408956
"2004-04-09"	-0.654057411953672	-0.0339274322715957	-0.343642967652632
"2004-04-16"	-0.665315366129542	-0.0277893969521728	-0.347193547516359
"2004-04-23"	-0.668209298447719	-0.0203423508911369	-0.353215014729951
"2004-04-30"	-0.625257184452349	-0.0255241381661424	-0.316259922464202
"2004-05-07"	-0.53785671008024	-0.204699346710779	-0.310545646549017
"2004-05-14"	-0.459965671139446	-0.18882620742554	-0.286399403932736
"2004-05-21"	-0.412051167226319	-0.194694593441844	-0.230299206465751
"2004-05-28"	-0.45876923319882	-0.21955099105186	-0.239878524739022
"2004-06-04"	-0.507269165304924	-0.220875136095996	-0.224570231428508
"2004-06-11"	-0.521214618474026	-0.232440905630376	-0.230742182533773
"2004-06-18"	-0.526606807512549	-0.243245479640287	-0.248316860195771
"2004-06-25"	-0.572664009373312	-0.218911662622804	-0.245247436181909
"2004-07-02"	-0.571589358887969	-0.230007844605764	-0.238099814842464
"2004-07-09"	-0.523079998385042	-0.232337162155833	-0.226949512854774
"2004-07-16"	-0.503829143560675	-0.256744726701941	-0.21594710121986
"2004-07-23"	-0.456280523143839	-0.281190767772901	-0.209884454103701
"2004-07-30"	-0.403105526366849	-0.338083417339135	-0.207289591154924
"2004-08-06"	-0.40084743118004	-0.3131582483427	-0.205278035870433
"2004-08-13"	-0.359117266525954	-0.327893107485671	-0.200966575663767
"2004-08-20"	-0.352520625059302	-0.297314370768963	-0.191359844896321
"2004-08-27"	-0.417849044341038	-0.275873248803244	-0.173604587259535
"2004-09-03"	-0.396750076481436	-0.285081011169878	-0.163312711093651
"2004-09-10"	-0.39534449410339	-0.315967438801781	-0.201268057718215
"2004-09-17"	-0.332985858964394	-0.305098332547396	-0.19417047337951
"2004-09-24"	-0.279753383961759	-0.334413876783221	-0.172614805606195
"2004-10-01"	-0.261864578438023	-0.342807647258809	-0.18476589173084
